village,location,property_type,road_type,year,price_lakhs
edigah,zoonimar,residential,front side road,2029,97.42115639646993
edigah,zoonimar,residential,front side road,2030,104.24063734422282
edigah,zoonimar,residential,front side road,2031,111.53748195831842
edigah,zoonimar,commercial,front side road,2021,80.75
edigah,zoonimar,commercial,front side road,2022,87.21000000000001
edigah,zoonimar,commercial,front side road,2023,94.1868
edigah,zoonimar,commercial,front side road,2024,101.72174400000002
edigah,zoonimar,commercial,front side road,2025,109.85948352000001
edigah,zoonimar,commercial,front side road,2026,118.64824220160003
edigah,zoonimar,commercial,front side road,2027,128.14010157772805
edigah,zoonimar,commercial,front side road,2028,138.3913097039463
edigah,zoonimar,commercial,front side road,2029,149.462614480262
edigah,zoonimar,commercial,front side road,2030,161.419623638683
edigah,zoonimar,commercial,front side road,2031,174.33319352977765
edigah,lal bazar,residential,front side road,2021,56.7
edigah,lal bazar,residential,front side road,2022,60.66900000000001
edigah,lal bazar,residential,front side road,2023,64.91583
edigah,lal bazar,residential,front side road,2024,69.4599381
edigah,lal bazar,residential,front side road,2025,74.32213376700001
edigah,lal bazar,residential,front side road,2026,79.52468313069002
edigah,lal bazar,residential,front side road,2027,85.09141094983833
edigah,lal bazar,residential,front side road,2028,91.04780971632702
edigah,lal bazar,residential,front side road,2029,97.42115639646993
edigah,lal bazar,residential,front side road,2030,104.24063734422282
edigah,lal bazar,residential,front side road,2031,111.53748195831842
edigah,lal bazar,commercial,front side road,2021,80.75
edigah,lal bazar,commercial,front side road,2022,87.21000000000001
edigah,lal bazar,commercial,front side road,2023,94.1868
edigah,lal bazar,commercial,front side road,2024,101.72174400000002
edigah,lal bazar,commercial,front side road,2025,109.85948352000001
edigah,lal bazar,commercial,front side road,2026,118.64824220160003
edigah,lal bazar,commercial,front side road,2027,128.14010157772805
edigah,lal bazar,commercial,front side road,2028,138.3913097039463
edigah,lal bazar,commercial,front side road,2029,149.462614480262
edigah,lal bazar,commercial,front side road,2030,161.419623638683
edigah,lal bazar,commercial,front side road,2031,174.33319352977765
edigah,zoonimar partially anchar,residential,front side road,2021,47.7
edigah,zoonimar partially anchar,residential,front side road,2022,51.039
edigah,zoonimar partially anchar,residential,front side road,2023,54.61173
edigah,zoonimar partially anchar,residential,front side road,2024,58.4345511
edigah,zoonimar partially anchar,residential,front side road,2025,62.52496967700001
edigah,zoonimar partially anchar,residential,front side road,2026,66.90171755439003
edigah,zoonimar partially anchar,residential,front side road,2027,71.58483778319733
edigah,zoonimar partially anchar,residential,front side road,2028,76.59577642802114
edigah,zoonimar partially anchar,residential,front side road,2029,81.95748077798262
edigah,zoonimar partially anchar,residential,front side road,2030,87.69450443244142
edigah,zoonimar partially anchar,residential,front side road,2031,93.83311974271233
edigah,zoonimar partially anchar,commercial,front side road,2021,71.39999999999999
edigah,zoonimar partially anchar,commercial,front side road,2022,77.112
edigah,zoonimar partially anchar,commercial,front side road,2023,83.28096000000001
edigah,zoonimar partially anchar,commercial,front side road,2024,89.94343680000001
edigah,zoonimar partially anchar,commercial,front side road,2025,97.13891174400001
edigah,zoonimar partially anchar,commercial,front side road,2026,104.91002468352004
edigah,zoonimar partially anchar,commercial,front side road,2027,113.30282665820164
edigah,zoonimar partially anchar,commercial,front side road,2028,122.36705279085778
edigah,zoonimar partially anchar,commercial,front side road,2029,132.1564170141264
edigah,zoonimar partially anchar,commercial,front side road,2030,142.7289303752565
edigah,zoonimar partially anchar,commercial,front side road,2031,154.14724480527707
edigah,nawakadal,residential,front side road,2021,47.7
edigah,nawakadal,residential,front side road,2022,51.039
edigah,nawakadal,residential,front side road,2023,54.61173
edigah,nawakadal,residential,front side road,2024,58.4345511
edigah,nawakadal,residential,front side road,2025,62.52496967700001
edigah,nawakadal,residential,front side road,2026,66.90171755439003
edigah,nawakadal,residential,front side road,2027,71.58483778319733
edigah,nawakadal,residential,front side road,2028,76.59577642802114
edigah,nawakadal,residential,front side road,2029,81.95748077798262
edigah,nawakadal,residential,front side road,2030,87.69450443244142
edigah,nawakadal,residential,front side road,2031,93.83311974271233
edigah,nawakadal,commercial,front side road,2021,71.39999999999999
edigah,nawakadal,commercial,front side road,2022,77.112
edigah,nawakadal,commercial,front side road,2023,83.28096000000001
edigah,nawakadal,commercial,front side road,2024,89.94343680000001
edigah,nawakadal,commercial,front side road,2025,97.13891174400001
edigah,nawakadal,commercial,front side road,2026,104.91002468352004
edigah,nawakadal,commercial,front side road,2027,113.30282665820164
edigah,nawakadal,commercial,front side road,2028,122.36705279085778
edigah,nawakadal,commercial,front side road,2029,132.1564170141264
edigah,nawakadal,commercial,front side road,2030,142.7289303752565
edigah,nawakadal,commercial,front side road,2031,154.14724480527707
edigah,saidpora,residential,front side road,2021,33.300000000000004
edigah,saidpora,residential,front side road,2022,35.63100000000001
edigah,saidpora,residential,front side road,2023,38.125170000000004
edigah,saidpora,residential,front side road,2024,40.793931900000004
edigah,saidpora,residential,front side road,2025,43.64950713300001
edigah,saidpora,residential,front side road,2026,46.70497263231001
edigah,saidpora,residential,front side road,2027,49.97432071657172
edigah,saidpora,residential,front side road,2028,53.47252316673174
edigah,saidpora,residential,front side road,2029,57.21559978840296
edigah,saidpora,residential,front side road,2030,61.220691773591184
edigah,saidpora,residential,front side road,2031,65.50614019774257
edigah,saidpora,commercial,front side road,2021,46.75
edigah,saidpora,commercial,front side road,2022,50.49
edigah,saidpora,commercial,front side road,2023,54.529199999999996
edigah,saidpora,commercial,front side road,2024,58.89153600000001
edigah,saidpora,commercial,front side road,2025,63.60285888000001
edigah,saidpora,commercial,front side road,2026,68.69108759040002
edigah,saidpora,commercial,front side road,2027,74.18637459763202
edigah,saidpora,commercial,front side road,2028,80.1212845654426
edigah,saidpora,commercial,front side road,2029,86.530987330678
edigah,saidpora,commercial,front side road,2030,93.45346631713225
edigah,saidpora,commercial,front side road,2031,100.92974362250284
edigah,noor shah colony,residential,front side road,2021,31.634999999999998
edigah,noor shah colony,residential,front side road,2022,33.849450000000004
edigah,noor shah colony,residential,front side road,2023,36.2189115
edigah,noor shah colony,residential,front side road,2024,38.754235305
edigah,noor shah colony,residential,front side road,2025,41.467031776350005
edigah,noor shah colony,residential,front side road,2026,44.36972400069451
edigah,noor shah colony,residential,front side road,2027,47.47560468074313
edigah,noor shah colony,residential,front side road,2028,50.79889700839515
edigah,noor shah colony,residential,front side road,2029,54.35481979898282
edigah,noor shah colony,residential,front side road,2030,58.159657184911616
edigah,noor shah colony,residential,front side road,2031,62.23083318785544
edigah,noor shah colony,commercial,front side road,2021,44.4125
edigah,noor shah colony,commercial,front side road,2022,47.9655
edigah,noor shah colony,commercial,front side road,2023,51.80273999999999
edigah,noor shah colony,commercial,front side road,2024,55.94695920000001
edigah,noor shah colony,commercial,front side road,2025,60.422715936
edigah,noor shah colony,commercial,front side road,2026,65.25653321088001
edigah,noor shah colony,commercial,front side road,2027,70.47705586775042
edigah,noor shah colony,commercial,front side road,2028,76.11522033717047
edigah,noor shah colony,commercial,front side road,2029,82.2044379641441
edigah,noor shah colony,commercial,front side road,2030,88.78079300127564
edigah,noor shah colony,commercial,front side road,2031,95.8832564413777
edigah,tang bagh,residential,front side road,2021,31.634999999999998
edigah,tang bagh,residential,front side road,2022,33.849450000000004
edigah,tang bagh,residential,front side road,2023,36.2189115
edigah,tang bagh,residential,front side road,2024,38.754235305
edigah,tang bagh,residential,front side road,2025,41.467031776350005
edigah,tang bagh,residential,front side road,2026,44.36972400069451
edigah,tang bagh,residential,front side road,2027,47.47560468074313
edigah,tang bagh,residential,front side road,2028,50.79889700839515
edigah,tang bagh,residential,front side road,2029,54.35481979898282
edigah,tang bagh,residential,front side road,2030,58.159657184911616
edigah,tang bagh,residential,front side road,2031,62.23083318785544
edigah,tang bagh,commercial,front side road,2021,44.4125
edigah,tang bagh,commercial,front side road,2022,47.9655
edigah,tang bagh,commercial,front side road,2023,51.80273999999999
edigah,tang bagh,commercial,front side road,2024,55.94695920000001
edigah,tang bagh,commercial,front side road,2025,60.422715936
edigah,tang bagh,commercial,front side road,2026,65.25653321088001
edigah,tang bagh,commercial,front side road,2027,70.47705586775042
edigah,tang bagh,commercial,front side road,2028,76.11522033717047
edigah,tang bagh,commercial,front side road,2029,82.2044379641441
edigah,tang bagh,commercial,front side road,2030,88.78079300127564
edigah,tang bagh,commercial,front side road,2031,95.8832564413777
edigah,khar mohalla,residential,front side road,2021,33.300000000000004
edigah,khar mohalla,residential,front side road,2022,35.63100000000001
edigah,khar mohalla,residential,front side road,2023,38.125170000000004
edigah,khar mohalla,residential,front side road,2024,40.793931900000004
edigah,khar mohalla,residential,front side road,2025,43.64950713300001
edigah,khar mohalla,residential,front side road,2026,46.70497263231001
edigah,khar mohalla,residential,front side road,2027,49.97432071657172
edigah,khar mohalla,residential,front side road,2028,53.47252316673174
edigah,khar mohalla,residential,front side road,2029,57.21559978840296
edigah,khar mohalla,residential,front side road,2030,61.220691773591184
edigah,khar mohalla,residential,front side road,2031,65.50614019774257
edigah,khar mohalla,commercial,front side road,2021,46.75
edigah,khar mohalla,commercial,front side road,2022,50.49
edigah,khar mohalla,commercial,front side road,2023,54.529199999999996
edigah,khar mohalla,commercial,front side road,2024,58.89153600000001
edigah,khar mohalla,commercial,front side road,2025,63.60285888000001
edigah,khar mohalla,commercial,front side road,2026,68.69108759040002
edigah,khar mohalla,commercial,front side road,2027,74.18637459763202
edigah,khar mohalla,commercial,front side road,2028,80.1212845654426
edigah,khar mohalla,commercial,front side road,2029,86.530987330678
edigah,khar mohalla,commercial,front side road,2030,93.45346631713225
edigah,khar mohalla,commercial,front side road,2031,100.92974362250284
edigah,brarivaar,residential,front side road,2021,33.300000000000004
edigah,brarivaar,residential,front side road,2022,35.63100000000001
edigah,brarivaar,residential,front side road,2023,38.125170000000004
edigah,brarivaar,residential,front side road,2024,40.793931900000004
edigah,brarivaar,residential,front side road,2025,43.64950713300001
edigah,brarivaar,residential,front side road,2026,46.70497263231001
edigah,brarivaar,residential,front side road,2027,49.97432071657172
edigah,brarivaar,residential,front side road,2028,53.47252316673174
edigah,brarivaar,residential,front side road,2029,57.21559978840296
edigah,brarivaar,residential,front side road,2030,61.220691773591184
edigah,brarivaar,residential,front side road,2031,65.50614019774257
edigah,brarivaar,commercial,front side road,2021,46.75
edigah,brarivaar,commercial,front side road,2022,50.49
edigah,brarivaar,commercial,front side road,2023,54.529199999999996
edigah,brarivaar,commercial,front side road,2024,58.89153600000001
edigah,brarivaar,commercial,front side road,2025,63.60285888000001
edigah,brarivaar,commercial,front side road,2026,68.69108759040002
edigah,brarivaar,commercial,front side road,2027,74.18637459763202
edigah,brarivaar,commercial,front side road,2028,80.1212845654426
edigah,brarivaar,commercial,front side road,2029,86.530987330678
edigah,brarivaar,commercial,front side road,2030,93.45346631713225
edigah,brarivaar,commercial,front side road,2031,100.92974362250284
edigah,said mohalla,residential,front side road,2021,33.300000000000004
edigah,said mohalla,residential,front side road,2022,35.63100000000001
edigah,said mohalla,residential,front side road,2023,38.125170000000004
edigah,said mohalla,residential,front side road,2024,40.793931900000004
edigah,said mohalla,residential,front side road,2025,43.64950713300001
edigah,said mohalla,residential,front side road,2026,46.70497263231001
edigah,said mohalla,residential,front side road,2027,49.97432071657172
edigah,said mohalla,residential,front side road,2028,53.47252316673174
edigah,said mohalla,residential,front side road,2029,57.21559978840296
edigah,said mohalla,residential,front side road,2030,61.220691773591184
edigah,said mohalla,residential,front side road,2031,65.50614019774257
edigah,said mohalla,commercial,front side road,2021,46.75
edigah,said mohalla,commercial,front side road,2022,50.49
edigah,said mohalla,commercial,front side road,2023,54.529199999999996
edigah,said mohalla,commercial,front side road,2024,58.89153600000001
edigah,said mohalla,commercial,front side road,2025,63.60285888000001
edigah,said mohalla,commercial,front side road,2026,68.69108759040002
edigah,said mohalla,commercial,front side road,2027,74.18637459763202
edigah,said mohalla,commercial,front side road,2028,80.1212845654426
edigah,said mohalla,commercial,front side road,2029,86.530987330678
edigah,said mohalla,commercial,front side road,2030,93.45346631713225
edigah,said mohalla,commercial,front side road,2031,100.92974362250284
edigah,umar heir,residential,front side road,2021,61.2
edigah,umar heir,residential,front side road,2022,65.48400000000001
edigah,umar heir,residential,front side road,2023,70.06788
edigah,umar heir,residential,front side road,2024,74.9726316
edigah,umar heir,residential,front side road,2025,80.22071581200002
edigah,umar heir,residential,front side road,2026,85.83616591884002
edigah,umar heir,residential,front side road,2027,91.84469753315884
edigah,umar heir,residential,front side road,2028,98.27382636047996
edigah,umar heir,residential,front side road,2029,105.15299420571357
edigah,umar heir,residential,front side road,2030,112.51370380011352
edigah,umar heir,residential,front side road,2031,120.38966306612149
edigah,umar heir,commercial,front side road,2021,80.75
edigah,umar heir,commercial,front side road,2022,87.21000000000001
edigah,umar heir,commercial,front side road,2023,94.1868
edigah,umar heir,commercial,front side road,2024,101.72174400000002
edigah,umar heir,commercial,front side road,2025,109.85948352000001
edigah,umar heir,commercial,front side road,2026,118.64824220160003
edigah,umar heir,commercial,front side road,2027,128.14010157772805
edigah,umar heir,commercial,front side road,2028,138.3913097039463
edigah,umar heir,commercial,front side road,2029,149.462614480262
edigah,umar heir,commercial,front side road,2030,161.419623638683
edigah,umar heir,commercial,front side road,2031,174.33319352977765
edigah,ahmad nagar,residential,front side road,2021,61.2
edigah,ahmad nagar,residential,front side road,2022,65.48400000000001
edigah,ahmad nagar,residential,front side road,2023,70.06788
edigah,ahmad nagar,residential,front side road,2024,74.9726316
edigah,ahmad nagar,residential,front side road,2025,80.22071581200002
edigah,ahmad nagar,residential,front side road,2026,85.83616591884002
edigah,ahmad nagar,residential,front side road,2027,91.84469753315884
edigah,ahmad nagar,residential,front side road,2028,98.27382636047996
edigah,ahmad nagar,residential,front side road,2029,105.15299420571357
edigah,ahmad nagar,residential,front side road,2030,112.51370380011352
edigah,ahmad nagar,residential,front side road,2031,120.38966306612149
edigah,ahmad nagar,commercial,front side road,2021,80.75
edigah,ahmad nagar,commercial,front side road,2022,87.21000000000001
edigah,ahmad nagar,commercial,front side road,2023,94.1868
edigah,ahmad nagar,commercial,front side road,2024,101.72174400000002
edigah,ahmad nagar,commercial,front side road,2025,109.85948352000001
edigah,ahmad nagar,commercial,front side road,2026,118.64824220160003
edigah,ahmad nagar,commercial,front side road,2027,128.14010157772805
edigah,ahmad nagar,commercial,front side road,2028,138.3913097039463
edigah,ahmad nagar,commercial,front side road,2029,149.462614480262
edigah,ahmad nagar,commercial,front side road,2030,161.419623638683
edigah,ahmad nagar,commercial,front side road,2031,174.33319352977765
edigah,baghwanpora,residential,front side road,2021,27.36
edigah,baghwanpora,residential,front side road,2022,29.275199999999998
edigah,baghwanpora,residential,front side road,2023,31.324464000000003
edigah,baghwanpora,residential,front side road,2024,33.51717648
edigah,baghwanpora,residential,front side road,2025,35.8633788336
edigah,baghwanpora,residential,front side road,2026,38.373815351952004
edigah,baghwanpora,residential,front side road,2027,41.059982426588654
edigah,baghwanpora,residential,front side road,2028,43.934181196449856
edigah,baghwanpora,residential,front side road,2029,47.00957388020136
edigah,baghwanpora,residential,front side road,2030,50.300244051815454
edigah,baghwanpora,residential,front side road,2031,53.82126113544254
edigah,baghwanpora,commercial,front side road,2021,33.915
edigah,baghwanpora,commercial,front side road,2022,36.6282
edigah,baghwanpora,commercial,front side road,2023,39.558456
edigah,baghwanpora,commercial,front side road,2024,42.723132480000004
edigah,baghwanpora,commercial,front side road,2025,46.140983078400005
edigah,baghwanpora,commercial,front side road,2026,49.832261724672016
edigah,baghwanpora,commercial,front side road,2027,53.81884266264578
edigah,baghwanpora,commercial,front side road,2028,58.124350075657446
edigah,baghwanpora,commercial,front side road,2029,62.774298081710036
edigah,baghwanpora,commercial,front side road,2030,67.79624192824684
edigah,baghwanpora,commercial,front side road,2031,73.21994128250661
edigah,gulshan abad,residential,front side road,2021,28.8
edigah,gulshan abad,residential,front side road,2022,30.816000000000003
edigah,gulshan abad,residential,front side road,2023,32.97312
edigah,gulshan abad,residential,front side road,2024,35.28123840000001
edigah,gulshan abad,residential,front side road,2025,37.75092508800001
edigah,gulshan abad,residential,front side road,2026,40.393489844160015
edigah,gulshan abad,residential,front side road,2027,43.221034133251216
edigah,gulshan abad,residential,front side road,2028,46.246506522578805
edigah,gulshan abad,residential,front side road,2029,49.483761979159326
edigah,gulshan abad,residential,front side road,2030,52.94762531770048
edigah,gulshan abad,residential,front side road,2031,56.65395908993951
edigah,gulshan abad,commercial,front side road,2021,35.699999999999996
edigah,gulshan abad,commercial,front side road,2022,38.556
edigah,gulshan abad,commercial,front side road,2023,41.640480000000004
edigah,gulshan abad,commercial,front side road,2024,44.97171840000001
edigah,gulshan abad,commercial,front side road,2025,48.569455872000006
edigah,gulshan abad,commercial,front side road,2026,52.45501234176002
edigah,gulshan abad,commercial,front side road,2027,56.65141332910082
edigah,gulshan abad,commercial,front side road,2028,61.18352639542889
edigah,gulshan abad,commercial,front side road,2029,66.0782085070632
edigah,gulshan abad,commercial,front side road,2030,71.36446518762826
edigah,gulshan abad,commercial,front side road,2031,77.07362240263853
edigah,shabeen mohalla,residential,front side road,2021,28.8
edigah,shabeen mohalla,residential,front side road,2022,30.816000000000003
edigah,shabeen mohalla,residential,front side road,2023,32.97312
edigah,shabeen mohalla,residential,front side road,2024,35.28123840000001
edigah,shabeen mohalla,residential,front side road,2025,37.75092508800001
edigah,shabeen mohalla,residential,front side road,2026,40.393489844160015
edigah,shabeen mohalla,residential,front side road,2027,43.221034133251216
edigah,shabeen mohalla,residential,front side road,2028,46.246506522578805
edigah,shabeen mohalla,residential,front side road,2029,49.483761979159326
edigah,shabeen mohalla,residential,front side road,2030,52.94762531770048
edigah,shabeen mohalla,residential,front side road,2031,56.65395908993951
edigah,shabeen mohalla,commercial,front side road,2021,35.699999999999996
edigah,shabeen mohalla,commercial,front side road,2022,38.556
edigah,shabeen mohalla,commercial,front side road,2023,41.640480000000004
edigah,shabeen mohalla,commercial,front side road,2024,44.97171840000001
edigah,shabeen mohalla,commercial,front side road,2025,48.569455872000006
edigah,shabeen mohalla,commercial,front side road,2026,52.45501234176002
edigah,shabeen mohalla,commercial,front side road,2027,56.65141332910082
edigah,shabeen mohalla,commercial,front side road,2028,61.18352639542889
edigah,shabeen mohalla,commercial,front side road,2029,66.0782085070632
edigah,shabeen mohalla,commercial,front side road,2030,71.36446518762826
edigah,shabeen mohalla,commercial,front side road,2031,77.07362240263853
edigah,rakh colony,residential,front side road,2021,27.36
edigah,rakh colony,residential,front side road,2022,29.275199999999998
edigah,rakh colony,residential,front side road,2023,31.324464000000003
edigah,rakh colony,residential,front side road,2024,33.51717648
edigah,rakh colony,residential,front side road,2025,35.8633788336
edigah,rakh colony,residential,front side road,2026,38.373815351952004
edigah,rakh colony,residential,front side road,2027,41.059982426588654
edigah,rakh colony,residential,front side road,2028,43.934181196449856
edigah,rakh colony,residential,front side road,2029,47.00957388020136
edigah,rakh colony,residential,front side road,2030,50.300244051815454
edigah,rakh colony,residential,front side road,2031,53.82126113544254
edigah,rakh colony,commercial,front side road,2021,33.915
edigah,rakh colony,commercial,front side road,2022,36.6282
edigah,rakh colony,commercial,front side road,2023,39.558456
edigah,rakh colony,commercial,front side road,2024,42.723132480000004
edigah,rakh colony,commercial,front side road,2025,46.140983078400005
edigah,rakh colony,commercial,front side road,2026,49.832261724672016
edigah,rakh colony,commercial,front side road,2027,53.81884266264578
edigah,rakh colony,commercial,front side road,2028,58.124350075657446
edigah,rakh colony,commercial,front side road,2029,62.774298081710036
edigah,rakh colony,commercial,front side road,2030,67.79624192824684
edigah,rakh colony,commercial,front side road,2031,73.21994128250661
edigah,cement bridge,residential,front side road,2021,28.8
edigah,cement bridge,residential,front side road,2022,30.816000000000003
edigah,cement bridge,residential,front side road,2023,32.97312
edigah,cement bridge,residential,front side road,2024,35.28123840000001
edigah,cement bridge,residential,front side road,2025,37.75092508800001
edigah,cement bridge,residential,front side road,2026,40.393489844160015
edigah,cement bridge,residential,front side road,2027,43.221034133251216
edigah,cement bridge,residential,front side road,2028,46.246506522578805
edigah,cement bridge,residential,front side road,2029,49.483761979159326
edigah,cement bridge,residential,front side road,2030,52.94762531770048
edigah,cement bridge,residential,front side road,2031,56.65395908993951
edigah,cement bridge,commercial,front side road,2021,46.75
edigah,cement bridge,commercial,front side road,2022,50.49
edigah,cement bridge,commercial,front side road,2023,54.529199999999996
edigah,cement bridge,commercial,front side road,2024,58.89153600000001
edigah,cement bridge,commercial,front side road,2025,63.60285888000001
edigah,cement bridge,commercial,front side road,2026,68.69108759040002
edigah,cement bridge,commercial,front side road,2027,74.18637459763202
edigah,cement bridge,commercial,front side road,2028,80.1212845654426
edigah,cement bridge,commercial,front side road,2029,86.530987330678
edigah,cement bridge,commercial,front side road,2030,93.45346631713225
edigah,cement bridge,commercial,front side road,2031,100.92974362250284
edigah,rathpora,residential,front side road,2021,33.300000000000004
edigah,rathpora,residential,front side road,2022,35.63100000000001
edigah,rathpora,residential,front side road,2023,38.125170000000004
edigah,rathpora,residential,front side road,2024,40.793931900000004
edigah,rathpora,residential,front side road,2025,43.64950713300001
edigah,rathpora,residential,front side road,2026,46.70497263231001
edigah,rathpora,residential,front side road,2027,49.97432071657172
edigah,rathpora,residential,front side road,2028,53.47252316673174
edigah,rathpora,residential,front side road,2029,57.21559978840296
edigah,rathpora,residential,front side road,2030,61.220691773591184
edigah,rathpora,residential,front side road,2031,65.50614019774257
edigah,rathpora,commercial,front side road,2021,45.05
edigah,rathpora,commercial,front side road,2022,48.654
edigah,rathpora,commercial,front side road,2023,52.54632
edigah,rathpora,commercial,front side road,2024,56.75002560000001
edigah,rathpora,commercial,front side road,2025,61.29002764800001
edigah,rathpora,commercial,front side road,2026,66.19322985984003
edigah,rathpora,commercial,front side road,2027,71.48868824862721
edigah,rathpora,commercial,front side road,2028,77.2077833085174
edigah,rathpora,commercial,front side road,2029,83.38440597319881
edigah,rathpora,commercial,front side road,2030,90.05515845105472
edigah,rathpora,commercial,front side road,2031,97.2595711271391
edigah,sheikh hamza colony,residential,front side road,2021,31.634999999999998
edigah,sheikh hamza colony,residential,front side road,2022,33.849450000000004
edigah,sheikh hamza colony,residential,front side road,2023,36.2189115
edigah,sheikh hamza colony,residential,front side road,2024,38.754235305
edigah,sheikh hamza colony,residential,front side road,2025,41.467031776350005
edigah,sheikh hamza colony,residential,front side road,2026,44.36972400069451
edigah,sheikh hamza colony,residential,front side road,2027,47.47560468074313
edigah,sheikh hamza colony,residential,front side road,2028,50.79889700839515
edigah,sheikh hamza colony,residential,front side road,2029,54.35481979898282
edigah,sheikh hamza colony,residential,front side road,2030,58.159657184911616
edigah,sheikh hamza colony,residential,front side road,2031,62.23083318785544
edigah,sheikh hamza colony,commercial,front side road,2021,42.79749999999999
edigah,sheikh hamza colony,commercial,front side road,2022,46.2213
edigah,sheikh hamza colony,commercial,front side road,2023,49.919004
edigah,sheikh hamza colony,commercial,front side road,2024,53.91252432000001
edigah,sheikh hamza colony,commercial,front side road,2025,58.22552626560001
edigah,sheikh hamza colony,commercial,front side road,2026,62.88356836684802
edigah,sheikh hamza colony,commercial,front side road,2027,67.91425383619585
edigah,sheikh hamza colony,commercial,front side road,2028,73.34739414309155
edigah,sheikh hamza colony,commercial,front side road,2029,79.21518567453886
edigah,sheikh hamza colony,commercial,front side road,2030,85.55240052850199
edigah,sheikh hamza colony,commercial,front side road,2031,92.39659257078215
edigah,shah hamdan colony,residential,front side road,2021,31.634999999999998
edigah,shah hamdan colony,residential,front side road,2022,33.849450000000004
edigah,shah hamdan colony,residential,front side road,2023,36.2189115
edigah,shah hamdan colony,residential,front side road,2024,38.754235305
edigah,shah hamdan colony,residential,front side road,2025,41.467031776350005
edigah,shah hamdan colony,residential,front side road,2026,44.36972400069451
